Date;Tavg
2019-01-14;25.2
2019-01-15;26.5
2019-01-16;26.1
2019-01-17;25.6
2019-01-18;25.6
2019-01-19;25
2019-01-20;25.6
2019-01-21;24.7
2019-01-22;24.2
2019-01-23;25
2019-01-24;25
2019-01-25;24.7
2019-01-26;25.9
2019-01-27;25.3
2019-01-28;26.1
2019-01-29;26.3
2019-01-30;25.6
2019-01-31;23.7
2019-02-01;25.1
2019-02-02;25.3
2019-02-03;26.2
2019-02-04;25.4
2019-02-05;25.7
2019-02-06;25.5
2019-02-07;26
2019-02-08;25.6
2019-02-09;25.5
2019-02-10;25.6
2019-02-11;25.2
2019-02-12;25.7
2019-02-13;26.6
2019-02-14;26.4
2019-02-15;26.7
2019-02-16;25.8
2019-02-17;26.1
2019-02-18;26.4
2019-02-19;25.9
2019-02-20;25.5
2019-02-21;25.8
2019-02-22;26
2019-02-23;26
2019-02-24;26
2019-02-25;25.8
2019-02-26;27.4
2019-02-27;27.9
2019-02-28;26.5
2019-03-01;25.2
2019-03-02;26.5
2019-03-03;25.6
2019-03-04;26.5
2019-03-05;26.1
2019-03-06;23.1
2019-03-07;25.7
2019-03-08;26
2019-03-09;26
2019-03-10;26
2019-03-11;24.9
2019-03-12;25.2
2019-03-13;26.5
2019-03-14;26.6
2019-03-15;26.1
2019-03-16;26.1
2019-03-17;26.2
2019-03-18;26.4
2019-03-19;25.7
2019-03-20;26.3
2019-03-21;26
2019-03-22;26.5
2019-03-23;26.2
2019-03-24;27.1
2019-03-25;26.1
2019-03-26;26
2019-03-27;26.8
2019-03-28;25.5
2019-03-29;25.5
2019-03-30;26.5
2019-03-31;26.3
2019-04-01;26.2
2019-04-02;26.2
2019-04-03;25.3
2019-04-04;26.4
2019-04-05;26.4
2019-04-06;26.3
2019-04-07;26.2
2019-04-08;26.8
2019-04-09;26.8
2019-04-10;28
2019-04-11;27.7
2019-04-12;26.7
2019-04-13;27.4
2019-04-14;27.2
2019-04-15;26.2
